OperatorID,Standorte,Ladesaeulen,Plugs,ErneuerbareEnergie_Prozent,Datum
CH*AIL,2,20,20,,2023-03-21
CH*AVIA,1,1,2,,2023-03-21
CH*CCC,638,1645,1645,,2023-03-21
CH*DIE,1,1,2,,2023-03-21
CH*EBS,4,4,13,,2023-03-21
CH*ECU,1800,2471,2471,,2023-03-21
CH*ENMOBILECHARGE,16,32,32,,2023-03-21
CH*EVAEMOBILITAET,2,4,4,,2023-03-21
CH*EWACHARGE,18,42,42,,2023-03-21
CH*EWD,8,8,24,,2023-03-21
CH*EWO,7,7,11,,2023-03-21
CH*FASTNED,3,12,18,,2023-03-21
CH*HER,1,1,4,,2023-03-21
CH*ION,10,58,58,,2023-03-21
CH*LIDL,46,46,138,,2023-03-21
CH*MIG,19,27,56,,2023-03-21
CH*MOBILECHARGE,19,50,50,,2023-03-21
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-21
CH*PACEMOBILITY,1,1,1,,2023-03-21
CH*PARKCHARGE,4,13,13,,2023-03-21
CH*REP,158,408,408,,2023-03-21
CH*SCHARGE,1,1,1,,2023-03-21
CH*SWISSCHARGE,942,2662,2719,,2023-03-21
CH*TAE,1,131,131,,2023-03-21
CHEVP,1305,2705,5335,,2023-03-21
CH*AIL,2,20,20,,2023-03-22
CH*AVIA,1,1,2,,2023-03-22
CH*CCC,638,1645,1645,,2023-03-22
CH*DIE,1,1,2,,2023-03-22
CH*EBS,4,4,13,,2023-03-22
CH*ECU,1800,2471,2471,,2023-03-22
CH*ENMOBILECHARGE,16,32,32,,2023-03-22
CH*EVAEMOBILITAET,2,4,4,,2023-03-22
CH*EWACHARGE,18,42,42,,2023-03-22
CH*EWD,8,8,24,,2023-03-22
CH*EWO,7,7,11,,2023-03-22
CH*FASTNED,3,12,18,,2023-03-22
CH*HER,1,1,4,,2023-03-22
CH*ION,10,58,58,,2023-03-22
CH*LIDL,46,46,138,,2023-03-22
CH*MIG,19,27,56,,2023-03-22
CH*MOBILECHARGE,19,50,50,,2023-03-22
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-22
CH*PACEMOBILITY,1,1,1,,2023-03-22
CH*PARKCHARGE,4,13,13,,2023-03-22
CH*REP,158,408,408,,2023-03-22
CH*SCHARGE,1,1,1,,2023-03-22
CH*SWISSCHARGE,942,2662,2719,,2023-03-22
CH*TAE,1,131,131,,2023-03-22
CHEVP,1305,2705,5335,,2023-03-22
CH*AIL,2,20,20,,2023-03-23
CH*AVIA,1,1,2,,2023-03-23
CH*CCC,644,1655,1655,,2023-03-23
CH*DIE,1,1,2,,2023-03-23
CH*EBS,4,4,13,,2023-03-23
CH*ECU,1796,2465,2465,,2023-03-23
CH*ENMOBILECHARGE,16,32,32,,2023-03-23
CH*EVAEMOBILITAET,2,4,4,,2023-03-23
CH*EWACHARGE,18,42,42,,2023-03-23
CH*EWD,8,8,24,,2023-03-23
CH*EWO,7,7,11,,2023-03-23
CH*FASTNED,3,12,18,,2023-03-23
CH*HER,1,1,4,,2023-03-23
CH*ION,10,58,58,,2023-03-23
CH*LIDL,46,46,138,,2023-03-23
CH*MIG,19,27,56,,2023-03-23
CH*MOBILECHARGE,19,50,50,,2023-03-23
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-23
CH*PACEMOBILITY,1,1,1,,2023-03-23
CH*PARKCHARGE,4,13,13,,2023-03-23
CH*REP,158,408,408,,2023-03-23
CH*SCHARGE,1,1,1,,2023-03-23
CH*SWISSCHARGE,940,2657,2712,,2023-03-23
CH*TAE,1,131,131,,2023-03-23
CHEVP,1308,2719,5350,,2023-03-23
CH*AIL,2,20,20,,2023-03-24
CH*AVIA,1,1,2,,2023-03-24
CH*CCC,643,1651,1651,,2023-03-24
CH*DIE,1,1,2,,2023-03-24
CH*EBS,4,4,13,,2023-03-24
CH*ECU,1795,2465,2465,,2023-03-24
CH*ENMOBILECHARGE,16,32,32,,2023-03-24
CH*EVAEMOBILITAET,2,4,4,,2023-03-24
CH*EWACHARGE,18,42,42,,2023-03-24
CH*EWD,8,8,24,,2023-03-24
CH*EWO,7,7,11,,2023-03-24
CH*FASTNED,3,12,18,,2023-03-24
CH*HER,1,1,4,,2023-03-24
CH*ION,10,58,58,,2023-03-24
CH*LIDL,46,46,138,,2023-03-24
CH*MIG,19,27,56,,2023-03-24
CH*MOBILECHARGE,20,52,52,,2023-03-24
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-24
CH*PACEMOBILITY,1,1,1,,2023-03-24
CH*PARKCHARGE,4,13,13,,2023-03-24
CH*REP,159,410,410,,2023-03-24
CH*SCHARGE,1,1,1,,2023-03-24
CH*SWISSCHARGE,941,2661,2718,,2023-03-24
CH*TAE,1,131,131,,2023-03-24
CHEVP,1307,2711,5341,,2023-03-24
CH*AIL,2,20,20,,2023-03-25
CH*AVIA,1,1,2,,2023-03-25
CH*CCC,650,1686,1686,,2023-03-25
CH*DIE,1,1,2,,2023-03-25
CH*EBS,4,4,13,,2023-03-25
CH*ECU,1801,2471,2471,,2023-03-25
CH*ENMOBILECHARGE,16,32,32,,2023-03-25
CH*EVAEMOBILITAET,2,4,4,,2023-03-25
CH*EWACHARGE,18,42,42,,2023-03-25
CH*EWD,8,8,24,,2023-03-25
CH*EWO,7,7,11,,2023-03-25
CH*FASTNED,3,12,18,,2023-03-25
CH*HER,1,1,4,,2023-03-25
CH*ION,10,58,58,,2023-03-25
CH*LIDL,46,46,138,,2023-03-25
CH*MIG,19,27,56,,2023-03-25
CH*MOBILECHARGE,20,52,52,,2023-03-25
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-25
CH*PACEMOBILITY,1,1,1,,2023-03-25
CH*PARKCHARGE,4,13,13,,2023-03-25
CH*REP,160,410,410,,2023-03-25
CH*SCHARGE,1,1,1,,2023-03-25
CH*SWISSCHARGE,949,2685,2742,,2023-03-25
CH*TAE,1,131,131,,2023-03-25
CHEVP,1310,2718,5353,,2023-03-25
CH*AIL,2,20,20,,2023-03-26
CH*AVIA,1,1,2,,2023-03-26
CH*CCC,650,1686,1686,,2023-03-26
CH*DIE,1,1,2,,2023-03-26
CH*EBS,4,4,13,,2023-03-26
CH*ECU,1800,2464,2464,,2023-03-26
CH*ENMOBILECHARGE,16,32,32,,2023-03-26
CH*EVAEMOBILITAET,2,4,4,,2023-03-26
CH*EWACHARGE,18,42,42,,2023-03-26
CH*EWD,8,8,24,,2023-03-26
CH*EWO,7,7,11,,2023-03-26
CH*FASTNED,3,12,18,,2023-03-26
CH*HER,1,1,4,,2023-03-26
CH*ION,10,58,58,,2023-03-26
CH*LIDL,46,46,138,,2023-03-26
CH*MIG,19,27,56,,2023-03-26
CH*MOBILECHARGE,20,52,52,,2023-03-26
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-26
CH*PACEMOBILITY,1,1,1,,2023-03-26
CH*PARKCHARGE,4,13,13,,2023-03-26
CH*REP,159,410,410,,2023-03-26
CH*SCHARGE,1,1,1,,2023-03-26
CH*SWISSCHARGE,949,2685,2742,,2023-03-26
CH*TAE,1,131,131,,2023-03-26
CHEVP,1310,2718,5353,,2023-03-26
CH*AIL,2,20,20,,2023-03-27
CH*AVIA,1,1,2,,2023-03-27
CH*CCC,650,1686,1686,,2023-03-27
CH*DIE,1,1,2,,2023-03-27
CH*EBS,4,4,13,,2023-03-27
CH*ECU,1800,2464,2464,,2023-03-27
CH*ENMOBILECHARGE,16,32,32,,2023-03-27
CH*EVAEMOBILITAET,2,4,4,,2023-03-27
CH*EWACHARGE,18,42,42,,2023-03-27
CH*EWD,8,8,24,,2023-03-27
CH*EWO,7,7,11,,2023-03-27
CH*FASTNED,3,12,18,,2023-03-27
CH*HER,1,1,4,,2023-03-27
CH*ION,10,58,58,,2023-03-27
CH*LIDL,46,46,138,,2023-03-27
CH*MIG,19,27,56,,2023-03-27
CH*MOBILECHARGE,20,52,52,,2023-03-27
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-27
CH*PACEMOBILITY,1,1,1,,2023-03-27
CH*PARKCHARGE,4,13,13,,2023-03-27
CH*REP,159,410,410,,2023-03-27
CH*SCHARGE,1,1,1,,2023-03-27
CH*SWISSCHARGE,949,2685,2742,,2023-03-27
CH*TAE,1,131,131,,2023-03-27
CHEVP,1310,2718,5353,,2023-03-27
CH*AIL,2,20,20,,2023-03-28
CH*AVIA,1,1,2,,2023-03-28
CH*CCC,650,1686,1686,,2023-03-28
CH*DIE,1,1,2,,2023-03-28
CH*EBS,4,4,13,,2023-03-28
CH*ECU,1803,2478,2478,,2023-03-28
CH*ENMOBILECHARGE,16,32,32,,2023-03-28
CH*EVAEMOBILITAET,2,4,4,,2023-03-28
CH*EWACHARGE,18,42,42,,2023-03-28
CH*EWD,8,8,24,,2023-03-28
CH*EWO,7,7,11,,2023-03-28
CH*FASTNED,3,12,18,,2023-03-28
CH*HER,1,1,4,,2023-03-28
CH*ION,10,58,58,,2023-03-28
CH*LIDL,46,46,138,,2023-03-28
CH*MIG,19,27,56,,2023-03-28
CH*MOBILECHARGE,20,52,52,,2023-03-28
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-28
CH*PACEMOBILITY,1,1,1,,2023-03-28
CH*PARKCHARGE,4,13,13,,2023-03-28
CH*REP,159,410,410,,2023-03-28
CH*SCHARGE,1,1,1,,2023-03-28
CH*SWISSCHARGE,947,2677,2734,,2023-03-28
CH*TAE,1,131,131,,2023-03-28
CHEVP,1310,2721,5363,,2023-03-28
CH*AIL,2,20,20,,2023-03-29
CH*AVIA,1,1,2,,2023-03-29
CH*CCC,649,1682,1682,,2023-03-29
CH*DIE,1,1,2,,2023-03-29
CH*EBS,4,4,13,,2023-03-29
CH*ECU,1805,2481,2481,,2023-03-29
CH*ENMOBILECHARGE,16,32,32,,2023-03-29
CH*EVAEMOBILITAET,2,4,4,,2023-03-29
CH*EWACHARGE,18,42,42,,2023-03-29
CH*EWD,8,8,24,,2023-03-29
CH*EWO,7,7,11,,2023-03-29
CH*FASTNED,3,12,18,,2023-03-29
CH*HER,1,1,4,,2023-03-29
CH*ION,10,58,58,,2023-03-29
CH*LIDL,46,46,138,,2023-03-29
CH*MIG,19,27,56,,2023-03-29
CH*MOBILECHARGE,20,52,52,,2023-03-29
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-29
CH*PACEMOBILITY,1,1,1,,2023-03-29
CH*PARKCHARGE,4,13,13,,2023-03-29
CH*REP,159,410,410,,2023-03-29
CH*SCHARGE,1,1,1,,2023-03-29
CH*SWISSCHARGE,949,2678,2736,,2023-03-29
CH*TAE,1,131,131,,2023-03-29
CH*TES,29,336,336,,2023-03-29
CHEVP,1310,2719,5362,,2023-03-29
CH*AIL,2,20,20,,2023-03-30
CH*AVIA,1,1,2,,2023-03-30
CH*CCC,649,1682,1682,,2023-03-30
CH*DIE,1,1,2,,2023-03-30
CH*EBS,4,4,13,,2023-03-30
CH*ECU,1810,2490,2490,,2023-03-30
CH*ENMOBILECHARGE,16,32,32,,2023-03-30
CH*EVAEMOBILITAET,2,4,4,,2023-03-30
CH*EWACHARGE,18,42,42,,2023-03-30
CH*EWD,8,8,24,,2023-03-30
CH*EWO,7,7,11,,2023-03-30
CH*FASTNED,3,12,18,,2023-03-30
CH*HER,1,1,4,,2023-03-30
CH*ION,10,58,58,,2023-03-30
CH*LIDL,46,46,138,,2023-03-30
CH*MIG,19,27,56,,2023-03-30
CH*MOBILECHARGE,20,52,52,,2023-03-30
CH*MOBIMOEMOBILITY,3,5,5,,2023-03-30
CH*PACEMOBILITY,1,1,1,,2023-03-30
CH*PARKCHARGE,4,13,13,,2023-03-30
CH*REP,159,410,410,,2023-03-30
CH*SCHARGE,1,1,1,,2023-03-30
CH*SWISSCHARGE,949,2678,2736,,2023-03-30
CH*TAE,1,131,131,,2023-03-30
CH*TES,29,336,336,,2023-03-30
CHEVP,1311,2720,5364,,2023-03-30
CH*AIL,2,20,20,,2023-03-31
CH*AVIA,1,1,2,,2023-03-31
CH*CCC,649,1682,1682,,2023-03-31
CH*DIE,1,1,2,,2023-03-31
CH*EBS,4,4,13,,2023-03-31
CH*ECU,1810,2490,2490,,2023-03-31
CH*ENMOBILECHARGE,16,32,32,,2023-03-31
CH*EVAEMOBILITAET,2,4,4,,2023-03-31
CH*EWACHARGE,18,42,42,,2023-03-31
CH*EWD,8,8,24,,2023-03-31
CH*EWO,7,7,11,,2023-03-31
